mac_type,layer_idx,value,count
attn_score,11,-22,754983
attn_score,11,-20,747797
attn_score,11,-18,743979
attn_score,11,-16,750928
attn_score,11,-14,759174
attn_score,11,-12,769311
attn_score,11,-10,779511
attn_score,11,-8,787804
attn_score,11,-6,796196
attn_score,11,-4,804423
attn_score,11,-2,819114
attn_score,11,0,831414
attn_score,11,2,844512
attn_score,11,4,853393
attn_score,11,6,856992
attn_score,11,8,849283
attn_score,11,10,825957
attn_score,11,12,781693
attn_score,11,14,723193
attn_score,11,16,644792
attn_score,11,18,554626
attn_score,11,20,461098
attn_score,11,22,369592
attn_score,11,24,284201
attn_score,11,26,209877
attn_score,11,28,150465
attn_score,11,30,105330
attn_score,11,32,72645
attn_score,11,34,50594
attn_score,11,36,35896
attn_score,11,38,27056
attn_score,11,40,21316
attn_score,11,42,17304
attn_score,11,44,14234
attn_score,11,46,12089
attn_score,11,48,10165
attn_score,11,50,8286
attn_score,11,52,6081
attn_score,11,54,3880
attn_score,11,56,3052
attn_score,11,58,2768
attn_score,11,60,2317
attn_score,11,62,1250
attn_score,11,64,281
attn_score,-1,-64,1
attn_score,-1,-62,90
attn_score,-1,-60,1534
attn_score,-1,-58,6921
attn_score,-1,-56,23513
attn_score,-1,-54,56978
attn_score,-1,-52,108169
attn_score,-1,-50,179129
attn_score,-1,-48,258780
attn_score,-1,-46,351424
attn_score,-1,-44,454332
attn_score,-1,-42,578754
attn_score,-1,-40,732270
attn_score,-1,-38,918017
attn_score,-1,-36,1132545
attn_score,-1,-34,1394707
attn_score,-1,-32,1716492
attn_score,-1,-30,2142373
attn_score,-1,-28,2695206
attn_score,-1,-26,3382512
attn_score,-1,-24,4179519
attn_score,-1,-22,5103938
attn_score,-1,-20,6150131
attn_score,-1,-18,7339688
attn_score,-1,-16,8637982
attn_score,-1,-14,9980575
attn_score,-1,-12,11305715
attn_score,-1,-10,12506205
attn_score,-1,-8,13515493
attn_score,-1,-6,14315373
attn_score,-1,-4,14828430
attn_score,-1,-2,15072142
attn_score,-1,0,15040252
attn_score,-1,2,14768641
attn_score,-1,4,14301283
attn_score,-1,6,13683813
attn_score,-1,8,12924220
attn_score,-1,10,12102224
attn_score,-1,12,11195056
attn_score,-1,14,10257812
attn_score,-1,16,9295913
attn_score,-1,18,8350657
attn_score,-1,20,7426316
attn_score,-1,22,6530454
attn_score,-1,24,5637990
attn_score,-1,26,4779627
attn_score,-1,28,3964430
attn_score,-1,30,3214083
attn_score,-1,32,2548501
attn_score,-1,34,1946815
attn_score,-1,36,1475971
attn_score,-1,38,1073789
attn_score,-1,40,781113
attn_score,-1,42,547746
attn_score,-1,44,378101
attn_score,-1,46,256674
attn_score,-1,48,171954
attn_score,-1,50,106127
attn_score,-1,52,64066
attn_score,-1,54,37325
attn_score,-1,56,23661
attn_score,-1,58,16344
attn_score,-1,60,12074
attn_score,-1,62,6047
attn_score,-1,64,1871
